,latitude,longitude,listing_id
10,40.7145,-73.9425,7211212
10000,40.7947,-73.9667,7150865
100004,40.7388,-74.0018,6887163
100007,40.7539,-73.9677,6888711
100013,40.8241,-73.9493,6934781
100014,40.7429,-74.0028,6894514
100016,40.8012,-73.966,6930771
100020,40.7427,-73.9957,6867392
100026,40.8234,-73.9457,6898799
100027,40.7278,-73.9808,6814332
100030,40.7769,-73.9467,6869199
10004,40.8448,-73.9396,7102986
100044,40.7488,-73.977,6895442
100048,40.7707,-73.9817,6846213
10005,40.7584,-73.9648,7089402
100051,40.7439,-73.9743,6889043
100052,40.7305,-73.983,6913348
100053,40.8643,-73.928,6894111
100055,40.7999,-73.9638,6900220
100058,40.7328,-73.9799,6848536
100062,40.7454,-73.9845,6858062
100063,40.7427,-73.9794,6836760
100065,40.7447,-73.9741,6866830
100066,40.7074,-74.0081,6885927
10007,40.7391,-73.9936,7120132
100071,40.7584,-73.9653,6933499
100075,40.7728,-73.9502,6921632
100076,40.7709,-73.9917,6913084
100079,40.8335,-73.9141,6907079
100081,40.7716,-73.9506,6925264
100083,40.7897,-73.976,6904268
100084,40.7902,-73.9678,6821944
100085,40.7179,-74.0148,6912559
100087,40.7301,-73.9942,6898884
10009,40.844,-73.9404,7176319
100090,40.79,-73.9418,6890107
100096,40.8184,-73.9389,6821706
100098,40.7649,-73.9763,6885742
100099,40.7471,-73.9867,6832226
10010,40.753,-73.9959,7230670
100100,40.7231,-74.0044,6890563
100102,40.7723,-73.9533,6860485
100107,40.7753,-73.954,6896742
100112,40.7739,-73.9511,6942606
100113,40.8031,-73.957,6846026
100115,40.7975,-73.9626,6923614
100117,40.7372,-73.9981,6941997
100119,40.7479,-74.0005,6846938
10012,40.7802,-73.9504,7190105
100124,40.7377,-73.9831,6856713
100127,40.7263,-73.8573,6908135
100129,40.7267,-73.8569,6944369
100131,40.7817,-73.9573,6861960
100132,40.789,-73.9756,6847390
100133,40.7522,-73.9702,6816227
100136,40.7059,-73.8339,6859368
100137,40.7943,-73.9675,6907631
100138,40.7699,-73.9565,6923973
100139,40.766,-73.9914,6927880
10014,40.6888,-73.9522,7127110
100140,40.7493,-73.7142,6916033
100141,40.7892,-73.9705,6900939
100144,40.7571,-73.9647,6866313
100149,40.7299,-73.9819,6854532
100151,40.7796,-73.9493,6946257
100156,40.7459,-73.9564,6878074
100160,40.7467,-73.9854,6879306
100161,40.7619,-73.9854,6891766
100166,40.7341,-73.9896,6844733
100170,40.7413,-73.9779,6932777
100172,40.7351,-73.9531,6875163
100175,40.8028,-73.9648,6892631
100177,40.7196,-74.0109,6851714
100179,40.7777,-73.9532,6890772
100181,40.7087,-74.0058,6899196
100182,40.7924,-73.9741,6889430
100184,40.7756,-73.9846,6870967
100185,40.7054,-74.0095,6868139
100188,40.7108,-73.8543,6877460
100193,40.7802,-73.9444,6940305
100196,40.664,-73.9342,6869315
100198,40.7349,-73.9863,6818183
1002,40.7617,-73.9626,7208829
10020,40.8394,-73.9381,7147322
100200,40.7931,-73.9715,6897676
100203,40.7788,-73.9538,6848778
100205,40.6578,-73.9259,6846405
100206,40.769,-73.9541,6828553
100209,40.6633,-73.9824,6819930
10021,40.7762,-73.9592,7091995
100213,40.7604,-73.9617,6882553
100214,40.778,-73.9774,6875784
100215,40.7801,-73.9803,6929175
100216,40.7447,-74.0052,6864916
100219,40.6896,-73.9982,6872659
100221,40.7306,-73.8519,6883194
100222,40.7318,-74.0016,6889329
100224,40.7594,-73.9712,6911693
100227,40.748,-73.9572,6933506
100233,40.7681,-73.9858,6907978
100234,40.624,-74.0312,6866364
100235,40.7161,-73.9548,6944517
100237,40.7676,-73.9577,6875769
100240,40.7073,-74.0046,6830093
100241,40.5946,-73.9617,6914141
100243,40.7426,-73.979,6885991
100245,40.7793,-73.9496,6817707
100246,40.7216,-73.9423,6890059
100247,40.7802,-73.9504,7121934
100248,40.7128,-74.0059,6822355
100250,40.7763,-73.9518,6924176
100251,40.7676,-73.9813,6886300
100253,40.5757,-73.9686,6856146
100254,40.7777,-73.9883,6869981
100256,40.8034,-73.9661,6934541
100259,40.7133,-73.9395,6943997
100260,40.8678,-73.9251,6851019
100262,40.7592,-73.9903,6856770
100263,40.7779,-73.9525,6925656
100264,40.7064,-74.01,6838450
100265,40.7108,-73.9878,6931557
100270,40.7856,-73.9794,6873855
100274,40.7281,-73.9812,6882012
100276,40.7393,-73.9817,6899273
100277,40.7736,-73.947,6927877
100278,40.7633,-73.9628,6919514
100279,40.7444,-73.9754,6900844
100282,40.7796,-73.7804,6894530
100283,40.7697,-73.9581,6890146
100286,40.7075,-74.0113,6933977
100287,40.7264,-73.9836,6837789
10029,40.7947,-73.9667,7095651
100296,40.7983,-73.9416,6930615
100297,40.7481,-73.9748,6907321
100299,40.7993,-73.9689,6864865
10030,40.7694,-73.9603,7229402
100300,40.7299,-73.9819,6825388
100302,40.7751,-73.9481,6903190
100305,40.7922,-73.9645,6812585
100307,40.7366,-73.9934,6886100
100308,40.6896,-73.9527,6922235
100310,40.7324,-74.0081,6820367
100311,40.7412,-73.9772,6903401
100314,40.754,-73.9678,6883529
100316,40.7382,-73.9965,6910087
100317,40.764,-73.98,6886430
100318,40.7401,-74.0039,6818493
100319,40.7481,-73.9564,6920767
100322,40.7723,-73.948,6831747
100324,40.7681,-73.9527,6877550
10033,40.7777,-73.9498,7108485
100331,40.7951,-73.9676,6894240
100332,40.6905,-73.9668,6855492
100333,40.7612,-73.9978,6812475
100335,40.7906,-73.9687,6947696
100338,40.8666,-73.9217,6830764
10034,40.7692,-73.9847,7107622
100343,40.7075,-74.0059,6927068
100345,40.6812,-73.9105,6862919
100346,41.0412,-73.54,6875908
100348,40.7634,-73.9596,6900832
100356,40.7307,-73.9837,6878419
100358,40.7242,-73.9878,6886196
100359,40.7298,-73.9868,6862696
100360,40.7658,-73.9781,6828701
10037,40.7548,-73.9944,7096956
100371,40.7437,-73.9585,6905574
100377,40.7177,-73.9984,6965440
100380,40.763,-73.9579,6851802
100382,40.6663,-73.9402,6914964
100385,40.7406,-73.9822,6886758
100386,40.755,-73.9663,6935754
100387,40.7621,-73.9956,6941377
100390,40.7469,-73.9803,6940927
100391,40.7111,-73.8272,6853469
100392,40.7182,-74.0148,6926629
100395,40.8217,-73.9486,6876419
100399,40.7265,-73.9835,6932079
1004,40.7441,-73.8792,7195591
10040,40.7689,-73.9681,7172841
100400,40.7032,-73.9914,6862351
100403,40.7787,-73.9751,6821667
100406,40.7265,-73.9851,6849785
100410,40.7491,-73.9789,6942038
100411,40.7793,-73.9496,6909039
100412,40.7726,-73.926,6903614
100417,40.7462,-73.9757,6874758
100419,40.7346,-74.0018,6840041
100422,40.7062,-74.0099,6918057
100423,40.7704,-73.9566,6864381
100424,40.7616,-73.9643,6928762
100427,40.755,-73.9636,6831840
100429,40.7588,-73.9907,6945500
100433,40.6911,-73.9822,6853927
100437,40.7417,-73.9806,6839585
100438,40.7603,-73.995,6887119
100439,40.7658,-73.9781,6847031
100440,40.8342,-73.9427,6841584
100444,40.7604,-73.987,6864072
100445,40.746,-73.9754,6926755
100446,40.7771,-73.9496,6880947
100449,40.7412,-73.9772,6929248
10045,40.6577,-73.9055,7187990
100451,40.7637,-73.9846,6859496
100454,40.7095,-74.0094,6897104
100457,40.7425,-73.9926,6864115
100458,40.7088,-74.0143,6843557
100463,40.7722,-73.9606,6868334
100464,40.7489,-73.9765,6918821
100465,40.7274,-73.9882,6841075
100467,40.7512,-74.0026,6846567
100468,40.7593,-73.9962,6932296
100469,40.753,-73.9959,6930696
100471,40.8008,-73.9611,6917095
100472,40.7221,-73.9837,6938861
100473,40.731,-73.9876,6843876
100475,40.7928,-73.9758,6924281
100477,40.753,-73.9695,6930371
100479,40.7302,-73.9826,6849385
10048,40.7663,-73.8288,7145794
100482,40.7328,-74.0089,6864804
100489,40.7992,-73.9674,6899452
100490,40.7588,-73.9694,6907090
100491,40.756,-73.9687,6822287
100493,40.7612,-73.9978,6918128
100497,40.7297,-73.986,6858138
100498,40.7444,-74.0,6908210
100502,40.742,-73.9826,6944085
100504,40.7976,-73.968,6865014
100509,40.7836,-73.9491,6931540
100511,40.7868,-73.9504,6864155
100512,40.8035,-73.9567,6876775
100514,40.708,-74.0149,6861664
100515,40.7803,-73.9465,6824701
100518,40.7861,-73.9777,6893811
10052,40.7032,-73.9914,7193261
100521,40.7111,-74.0055,6937909
100523,40.7356,-73.9828,6901602
100524,40.7316,-73.9839,6930606
100526,40.6167,-73.955,6849599
10053,40.6503,-74.0135,7153130
100535,40.7852,-73.9777,6895162
100536,40.7842,-73.948,6858024
100543,40.7633,-73.9785,6910133
100544,40.7443,-73.9859,6822146
100545,40.7462,-73.9757,6833238
100547,40.6905,-73.9668,6827455
10055,40.7087,-74.0058,7171381
100551,40.7187,-73.9831,6858791
100553,40.7489,-73.9732,6823927
100558,40.7331,-74.0055,6855206
100559,40.7299,-73.9819,6903826
100560,40.7405,-73.9767,6945350
100561,40.7449,-73.9812,6904890
100563,40.7775,-73.9483,6908847
100564,40.7974,-73.9706,6944534
100567,40.7518,-73.9849,6902444
10057,40.727,-74.0308,7228593
